Almonds,Aloo Chips,Badi,Banana Chips,Bhakarwadi,Bhakarwadi Namkeen,Bhakri,Bhel Namkeen,Bhelpuri,Bhujia,Boondi Namkeen,Cashews,Chakli,Chana,Chana Jor,Cheese Balls,Cheese Cracker,Chips,Chivda Namkeen,Cocktail Nuts,Combo,Cookies,Corn,Corn Chips,Crisps,Dal,Dal Namkeen,Dried Mango,Flakes,Flavoured Almonds,Flavoured Cashew,Flax Seeds,Fryums,Gift Pack,Green Peas,Kachori,Kaju Badam,Khakhra,Khakhra Namkeen,Khari,Lachha,Makhana,Masala Kaju,Mathi,Mathri,Mathri Namkeen,Methi Mathi,Mix,Mixture,Mixture Namkeen,Murukku,Murukku Namkeen,Nacho,Nachos,Nachos & Salsa,Namak Para,Namakpara,Namkeen,Namkeen Mixture,Nuts,Pani Puri,Papad,Peanut Namkeen,Peanuts,Pita Chips,Popcorn,Potato Chips,Potato Stick,Potato Wafers,Puffs,Samosa,Seeds,Sev,Sevpuri,Snack,Soya Chips,Soya Sticks,Soyabeans,Sticks,Straws,Sweet Corn,Taco Shell,Taco Shells,Thattai,Trail Mix,Tub,Walnuts
2,3,1,17,0,4,0,17,5,31,8,1,0,6,45,6,1,132,1,4,10,0,0,0,70,0,6,2,0,4,1,8,0,0,3,0,0,7,0,0,3,105,0,3,6,0,0,8,1,12,0,5,0,27,9,0,1,111,26,1,1,26,23,0,1,28,93,0,1,51,1,6,1,0,20,0,3,32,14,6,1,0,0,0,20,0,0
13,1,0,28,0,9,0,22,10,60,8,66,5,19,2,6,0,159,5,23,14,0,0,0,99,0,17,2,4,0,40,1,0,0,4,0,0,15,1,0,4,159,0,1,7,1,1,27,0,40,1,16,0,72,18,0,1,157,3,3,0,22,84,0,5,49,177,0,1,64,0,8,8,0,27,2,2,6,8,3,0,0,0,0,12,0,0
4,1,3,29,0,2,0,17,4,36,8,1,0,4,3,7,0,124,3,5,10,0,0,0,100,0,12,0,1,40,0,0,0,0,1,0,0,1,1,0,3,127,0,2,7,2,1,10,1,32,0,5,0,48,12,0,2,136,1,3,0,11,50,0,1,32,136,0,3,60,0,5,3,0,12,0,1,2,2,2,0,1,0,0,1,1,0
3,0,0,12,0,1,0,12,0,11,11,0,1,15,11,1,0,38,1,0,3,0,0,0,19,0,3,0,8,1,0,0,1,0,1,0,0,3,0,0,1,37,0,1,1,0,0,4,0,11,0,1,0,10,3,0,1,44,2,2,0,12,14,0,1,14,40,0,1,13,1,5,0,0,2,0,1,19,1,0,0,0,0,0,15,0,0
0,1,0,2,0,1,0,7,0,24,11,0,0,4,0,3,0,24,3,0,1,1,0,0,33,0,4,0,0,0,0,1,0,0,1,0,0,5,1,0,1,2,0,0,0,1,0,0,0,11,0,6,0,8,1,0,0,47,0,0,0,141,10,0,0,14,36,0,1,13,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,4,39,1,18,1,24,6,55,25,8,3,16,11,7,0,174,9,23,10,0,1,0,110,0,28,5,3,4,1,1,1,0,0,2,1,17,1,0,5,97,0,2,7,2,2,20,1,32,0,16,0,56,15,0,5,210,2,4,0,29,86,0,3,63,191,0,5,53,1,35,8,3,122,2,4,9,8,0,0,1,1,0,5,1,0
1,0,0,42,0,167,0,98,2,107,36,0,30,10,0,10,0,77,30,2,6,0,0,0,115,0,31,0,0,0,0,0,0,0,2,0,2,44,0,0,0,19,0,0,1,0,0,0,0,61,3,22,0,43,5,0,0,250,1,0,1,26,86,0,0,35,136,0,0,43,4,2,22,1,12,9,4,0,4,1,0,0,1,0,1,0,0
2,0,0,17,0,14,0,4,2,17,5,2,7,1,1,3,0,18,16,0,1,0,0,0,16,0,11,0,0,0,0,0,0,0,1,2,0,2,0,0,0,2,0,0,2,0,0,0,0,18,4,0,0,8,1,0,0,38,0,0,0,8,11,0,0,4,26,0,0,8,3,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,7,7,428,8,343,60,382,43,568,140,9,190,101,11,69,1,871,180,8,56,0,1,0,878,0,214,5,7,15,1,3,5,0,17,44,2,0,13,6,5,436,2,10,54,6,5,10,1,324,11,181,0,431,68,0,7,1605,6,3,8,537,404,0,15,392,1119,0,10,418,20,14,161,10,63,21,22,3,59,10,1,1,2,0,8,4,0
