Almonds,Amaranthus Leaves,Amla,Apple,Apple Ber,Apricot,Arugula,Ash Gourd,Asparagus,Avocado,Baby Corn,Banana,Banana Leaf,Banana Stem,Basil Leaves,Beans,Beetroot,Bell Pepper,Bitter Gourd,Blueberry,Bok Choy,Bottle Gourd,Brinjal,Brinjal (Bharta),Broad Beans,Broccoli,Cabbage,Capsicum,Carrot,Cauliflower,Celery,Cherry,Chilli,Chow Chow,Cluster Beans,Coccinea,Coconut,Colocasia,Combo,Coriander,Corn,Cowpea Beans,Cucumber,Curry Leaves,Custard Apple,Dates,Dill Leaves,Dragon Fruit,Dried Apricots,Drumstick,Fenugreek,Fig,Flower,Flower String,Flowers,Flowers & Greens,French Beans,Fruit,Gaath Gobhi,Garlic,Ginger,Gongura,Grapefruit,Grapes,Green Chana,Groundnut,Guava,Haricot Beans,Indian Pear,Ivy Gourd,Jackfruit,Java Plum,Kachalu,Kale Leaves,Karonda,Kiwi,Lady Finger,Leaf,Leafy Mix,Leaves,Leek,Lemon,Lemongrass,Lettuce,Litchi,Longan,Lotus Stem,Mango,Mint Leaves,Mix,Mushroom,Muskmelon,Neem Leaves,Neem Sticks,Nimbu Mirchi,Onion,Orange,Pak Choi,Papaya,Parsley,Peach,Pear,Peas,Pineapple,Plum,Pointed Gourd,Pomegranate,Potato,Pumpkin,Radish,Raw Banana,Raw Papaya,Ridge Gourd,Rosemary,Round Gourd,Salad,Sambhar Mix,Sapota,Snake Gourd,Spinach,Sponge Gourd,Spring Onion,Sprouts,Star Fruit,Stir Fry Mix,Strawberry,Sugarcane,Summer Squash,Sun Melon,Sweet Corn,Sweet Lime,Sweet Potato,Sweet Tamarind,Tapioca,Thyme,Tindli,Tomato,Turmeric,Watermelon,Wood Apple,Yam,Zucchini
1,19,28,92,0,0,84,1,11,31,142,113,0,0,161,171,118,0,76,16,0,122,99,0,8,201,173,366,224,86,77,17,169,1,25,5,77,36,20,158,35,4,346,58,0,8,0,21,6,28,12,0,0,0,1,1,19,0,0,160,164,0,10,50,0,1,8,9,0,29,4,2,2,136,1,45,152,0,0,0,29,138,76,307,9,6,31,104,82,0,300,77,0,0,16,298,45,5,37,97,22,23,47,17,17,46,24,234,40,5,17,11,26,11,19,50,1,13,6,105,21,128,83,0,1,0,1,15,24,59,19,14,6,0,6,0,447,14,134,13,10,231
237,853,4459,13485,0,150,152,903,59,212,2811,23928,39,44,954,37743,17437,8,33011,345,122,0,51274,202,3418,3459,28011,57272,40086,29165,451,508,58883,202,11406,3545,14397,20736,2931,49522,1690,1618,84446,15172,1,621,2,733,141,9668,3981,105,7,61,275,187,1467,100,812,28251,45836,144,146,8365,218,112,1222,3689,10,12998,830,199,523,127,270,4296,84469,35,4,62,43,34899,927,3951,932,132,1244,18572,14640,24,16596,16270,17,15,2282,94659,3265,23,7377,896,1657,1558,14064,1137,994,21533,3012,89459,18027,3525,3364,2110,16902,73,12122,438,72,3500,2890,22080,17788,5189,5751,1,7,5,43,2120,1272,7830,3286,1934,303,97,31,113,120600,1761,27716,1894,2322,3174
197,1033,3058,8773,0,141,102,953,62,151,2415,17660,91,49,832,30340,13637,6,29861,243,99,51274,0,68,3674,2558,23187,46822,32359,25277,332,415,55361,237,11642,3833,10721,20348,3582,43298,1513,1617,63399,15703,2,487,8,589,107,11030,4001,102,11,116,421,254,1135,121,974,27180,39240,235,138,5991,147,141,1002,4186,5,12845,862,165,542,87,280,2829,73305,63,1,86,48,28373,787,3079,786,145,980,16172,12407,23,16188,11573,40,32,1208,84809,2093,21,4806,783,1405,1041,12010,819,802,19924,1819,80826,14623,3950,3138,2104,13139,58,9202,317,66,2697,2695,19248,11704,4575,5144,0,4,3,45,1520,918,6856,2224,1644,255,149,22,51,103424,1445,20192,1179,2601,2141
0,1,15,66,0,0,0,0,0,0,22,84,0,0,2,119,83,2,75,0,0,202,68,0,23,35,141,165,144,87,3,3,218,0,58,0,62,63,0,195,0,19,189,110,0,2,0,6,0,68,66,0,0,1,0,2,7,0,0,117,160,0,0,34,10,3,23,0,0,39,27,0,0,2,0,25,279,0,0,0,0,127,13,37,3,0,3,77,60,0,82,53,0,0,0,295,19,0,25,8,2,6,5,2,2,75,16,286,31,37,23,23,58,7,55,0,7,18,11,139,22,44,46,0,0,0,4,0,5,56,12,24,0,0,3,15,356,9,104,0,5,13
1,170,294,931,0,0,2,393,24,11,351,1827,29,32,64,2712,1740,3,1981,18,8,3418,3674,23,0,339,2623,2710,3636,2149,30,15,4099,125,1593,1499,1299,1174,212,4381,17,144,4056,2064,0,47,1,54,14,2504,1039,37,5,31,121,55,144,28,433,1957,2569,69,16,553,42,37,249,1478,0,506,100,2,12,1,0,177,5485,13,0,33,4,2028,105,222,3,18,35,1112,1545,2,1377,819,5,9,0,5605,121,6,531,38,40,85,255,67,16,1314,226,5009,1245,1193,412,326,2538,9,291,8,23,274,539,2424,332,215,513,0,1,2,12,1,28,879,245,474,27,74,3,13,6945,97,1279,59,517,156
11,113,538,2769,0,12,120,203,72,247,4371,3879,22,15,1026,4794,3311,16,1481,315,201,3459,2558,35,339,0,3563,12564,8909,3656,363,186,4398,38,670,475,2444,951,478,5087,245,103,8666,1767,1,137,6,382,81,1135,809,97,2,31,124,62,497,56,170,3118,3739,33,38,1597,38,36,424,1043,1,434,119,44,33,182,29,1062,4566,34,10,27,75,3695,562,4669,48,26,142,2098,2177,9,10073,1802,9,8,518,8364,763,75,1262,450,172,377,902,294,128,751,807,6027,1169,533,226,256,1100,106,299,239,15,517,175,3840,431,1022,2138,0,6,6,13,143,157,3231,590,807,69,41,60,24,11626,257,3187,161,212,4102
50,521,1956,6459,0,40,137,914,72,177,2958,11498,49,43,826,21674,11573,9,12344,255,173,28011,23187,141,2623,3563,0,35827,31265,20749,552,259,30921,231,6759,2979,7395,7988,1294,27853,834,1034,38584,10295,0,324,5,513,90,7041,3579,97,11,62,300,182,1129,115,959,15884,23211,136,92,4517,166,130,986,4055,8,5634,600,53,375,164,69,1945,36105,34,2,69,87,15884,853,4807,256,96,626,7913,8823,19,10568,6804,30,19,1070,49247,1635,40,3493,785,572,711,7517,700,316,7937,1759,44942,7796,3231,1986,1201,7972,77,2984,312,84,1903,1555,13248,3698,5135,4194,0,3,5,50,946,627,6625,1593,1613,163,146,35,93,59422,892,12383,618,1704,2291
278,963,4638,14093,0,206,322,971,122,469,9532,26712,54,51,3097,51459,20578,40,28803,697,366,57272,46822,165,2710,12564,35827,0,71518,32201,966,809,70735,255,11207,2914,15363,19767,4355,64172,2448,1365,100972,19163,3,697,9,1075,210,7652,4390,169,15,103,413,234,1919,180,1150,35270,53467,151,218,9084,235,151,1354,5647,15,10811,870,206,530,297,306,5085,80006,70,11,90,139,44738,1676,12163,1055,194,1248,21155,19748,46,31961,16775,14,14,2472,119480,3680,73,6763,1732,2007,1746,18050,1500,1127,16956,3325,98327,14214,3391,2519,1645,11573,195,10582,867,79,3735,2036,23862,12452,9411,8583,0,19,4,51,1757,1493,18612,3189,2129,349,117,90,80,152518,2164,29464,1752,2032,8420
196,953,4927,15566,0,146,195,1834,144,288,6260,27715,126,86,1584,54638,31337,10,17835,476,224,40086,32359,144,3636,8909,31265,71518,0,32543,938,527,53199,425,9043,4877,17926,12049,3954,59981,1904,1477,88055,21760,2,747,13,880,194,13374,6144,231,26,168,745,391,2785,302,2033,26632,40610,330,167,7978,191,246,1720,11761,14,7413,873,206,391,218,238,4096,53627,105,12,169,87,33851,1288,8047,740,183,913,16534,21546,43,21762,12532,37,29,2721,86510,3849,72,7782,991,1414,1552,13709,1244,776,11733,3869,73299,14175,6278,2627,2451,12361,136,5862,552,128,3726,2317,26313,7174,6739,8276,0,14,10,79,1482,987,14372,3505,3869,318,324,59,64,112721,1935,22706,1283,2413,4391
67,273,1939,7557,0,60,105,587,60,139,2382,14575,55,49,589,24302,9410,9,12184,273,86,29165,25277,87,2149,3656,20749,32201,32543,0,319,202,32855,116,4971,2739,7958,9354,1773,35263,843,627,39548,8868,3,342,2,470,83,6211,3802,88,10,90,333,189,1524,127,698,16745,25855,103,48,5736,85,104,772,3867,5,4285,488,119,297,79,92,2013,39449,33,5,59,43,15967,603,3124,417,57,862,8794,10038,19,13387,6992,17,17,2533,52668,2194,31,4611,626,518,769,11205,610,374,8673,2133,52554,7623,2980,1574,1134,6893,36,2670,274,74,1948,1131,16050,3976,3788,3723,0,4,5,17,1575,611,4997,1588,1434,127,83,16,49,66921,733,12325,574,1285,1760
