Amla,Biscuit,Bite,Bubble Gum,Burfi,Candy,Cham cham,Chewing Gum,Chikki,Choco Chips,Chocolate,Chocolate Bag,Chocolate Bar,Chocolate Gift Box,Chocolate Gift Pack,Chocolate Share Bags,Dark Chocolate,Dark Chocolate Bar,Dates,Digestive Tablets,Filled Bar,Filled Bars,Frozen Dessert,Gajak,Gift Box,Gift Pack,Gujia,Gujiya,Gulab Jamun,Gulkand,Gum,Halwa,Ice Cream,Jelly,Katli,Kulfi,Laddu,Lollipop,Lozenges,Marshmallow,Milk Chocolate,Mouth Freshener,Pak,Papad,Patisa,Petha,Raj Bhog,Ras Malai,Rasgulla,Rewdi,Rewri,Sauce,Shaped Chocolates,Snack,Soan Papdi,Stick Kulfi,Sundae,Sweet,Sweets,Syrup,Toffee,Toffee Pack,Wafer Bar,Wafer Chocolate,Wafer Roll,Wafers,White Chocolate
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,9,0,0,14,0,6,0,10,0,1,2,5,0,0,1,0,0,8,1,0,0,0,0,9,0,0,0,7,0,7,0,32,2,0,0,3,8,23,0,0,0,0,2,4,1,0,0,5,0,10,4,0,0,0,0,0,0,2,1,0,1,0
0,1,33,0,38,2210,11,446,93,0,3220,0,5326,2,509,221,1384,56,0,450,1019,27,12978,2,1,4,0,0,294,0,1,7,0,0,200,1116,428,262,0,0,402,721,106,21,10,106,63,21,413,0,0,2,2614,0,32,3199,36,0,15,1193,5,7,1177,635,0,377,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,42,0,39,173,6,18,60,0,209,0,281,0,66,17,58,2,0,29,51,1,201,0,0,0,0,2,133,0,0,7,200,0,0,22,366,13,0,0,23,59,130,1,14,60,41,13,190,1,0,0,137,0,20,56,0,0,17,21,0,0,77,35,1,22,0
0,0,2,0,3,148,1,32,7,0,165,0,298,0,36,11,69,1,0,41,63,4,865,0,0,1,0,1,17,0,0,0,1116,0,22,0,35,15,0,0,30,67,10,2,2,11,8,0,31,0,0,0,149,0,1,1346,0,0,0,28,1,4,71,30,0,20,0
0,0,110,0,125,522,8,50,624,0,480,0,675,0,114,38,168,6,0,103,117,2,399,2,0,1,1,1,225,0,0,32,428,0,366,35,0,44,0,0,68,128,434,4,14,278,66,23,387,4,1,0,426,0,100,100,0,0,19,55,1,0,193,58,0,73,0
0,0,2,0,5,3092,0,369,17,0,831,0,827,0,122,64,142,7,0,186,234,3,266,0,0,1,0,1,19,0,0,2,262,0,13,15,44,0,0,0,122,213,10,14,0,13,9,0,30,0,0,0,1188,0,5,70,0,0,1,57,3,11,325,131,0,131,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,4,870,0,141,22,0,2559,0,4097,0,401,184,645,23,0,83,1006,12,365,0,0,1,0,0,13,0,0,3,402,0,23,30,68,122,0,0,0,122,20,4,2,9,2,0,20,0,0,0,2299,0,9,84,0,0,0,126,0,5,804,935,1,156,0
0,0,7,0,7,2729,2,970,51,0,953,1,1245,0,153,86,419,15,0,1000,354,9,595,2,0,0,0,0,41,0,0,8,721,0,59,67,128,213,0,0,122,0,27,24,3,43,15,2,93,0,0,0,889,0,8,213,3,0,7,175,3,6,308,176,0,120,0
0,0,135,0,0,129,0,3,89,0,102,0,160,0,28,12,41,2,0,24,30,0,87,0,0,0,0,0,56,0,0,23,106,0,130,10,434,10,0,0,20,27,0,0,0,0,0,7,62,0,0,0,108,0,49,45,0,0,0,15,4,1,43,11,0,25,0
0,0,0,0,0,87,1,9,0,0,27,0,33,0,5,3,13,0,0,26,12,0,13,0,0,0,0,0,0,0,0,0,21,0,1,2,4,14,0,0,4,24,0,0,0,2,1,0,3,0,0,0,25,0,0,6,0,0,1,1,0,0,9,2,0,5,0
0,0,0,0,1,12,0,1,0,0,12,0,8,0,1,0,4,0,0,3,4,0,15,0,0,0,0,0,4,0,0,0,10,0,14,2,14,0,0,0,2,3,0,0,0,7,1,0,9,0,0,0,11,0,2,0,0,0,0,1,0,0,5,2,0,2,0
0,0,0,0,44,145,7,9,0,0,105,0,112,0,29,6,20,0,0,38,33,0,91,0,0,1,0,1,54,0,0,0,106,0,60,11,278,13,0,0,9,43,0,2,7,0,29,6,98,0,0,0,76,0,1,20,0,0,4,27,0,0,49,18,0,18,0
0,0,0,0,8,36,11,8,0,0,37,0,52,0,15,6,20,1,0,11,14,0,59,0,0,0,0,0,57,0,0,0,63,0,41,8,66,9,0,0,2,15,0,1,1,29,0,6,90,0,0,0,34,0,1,10,0,0,8,9,0,0,18,4,0,4,0
0,0,2,0,3,13,4,1,2,0,13,0,24,0,4,1,7,0,0,5,8,0,36,0,0,0,0,0,19,0,0,2,21,0,13,0,23,0,0,0,0,2,7,0,0,6,6,0,31,0,0,0,13,0,5,2,0,0,1,7,0,0,3,0,0,2,0
0,0,16,0,38,268,12,24,22,0,311,0,366,0,81,23,84,1,0,46,60,1,362,1,0,1,0,0,733,0,0,4,413,0,190,31,387,30,0,0,20,93,62,3,9,98,90,31,0,0,0,0,200,0,29,56,0,1,18,51,1,0,119,46,0,53,0
0,0,0,0,0,6,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,22,0,27,6447,10,842,135,0,12621,3,17596,1,1608,866,2757,94,0,656,3669,85,2663,0,0,11,0,0,133,0,0,5,2614,0,137,149,426,1188,0,0,2299,889,108,25,11,76,34,13,200,2,0,0,0,0,26,514,2,0,10,723,15,19,3881,2719,2,1091,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,1,36,2,1,22,0,41,0,56,0,8,6,14,1,0,10,10,0,37,1,0,0,0,0,33,0,0,10,32,0,20,1,100,5,0,0,9,8,49,0,2,1,1,5,29,1,0,0,26,0,0,6,0,0,0,4,0,0,10,2,0,11,0
0,0,6,0,6,491,1,116,38,0,492,0,898,0,75,36,227,13,0,108,233,3,2722,0,0,0,0,1,40,0,0,4,3199,0,56,1346,100,70,0,0,84,213,45,6,0,20,10,2,56,0,0,0,514,0,6,0,3,0,1,86,0,3,188,123,0,50,0
0,0,0,0,0,4,0,1,1,0,2,0,5,0,0,0,1,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
