Aloo Tikki,Alphabytes,Bacon,Bar,Batter,Beans,Bites,Breakfast Bar,Breakfast Mix,Capers (Kachra),Chapati,Cheesy Triangle,Chicken,Chicken & Cheese Nuggets,Chicken Breast,Chicken Meatballs,Chicken Sausage,Chicken Tikka,Coconut,Combo,Crispy Potato,Cup Noodles,Curry,Custard Powder,Dal Makhani,Dessert Mix,Domestic Pasta,Dosa Mix,Drink Mix,Energy Bar,Fingers,Fish,Flakes,Flavoured Instant Noodles,Flavoured Milk,French Fries,Fries,Fruit Cocktail,Gherkins,Green Peas,Hakka Noodles,Ham,Health Drink,Idli,Instant Mix,Instant Pasta,Jalapeno,Kabuli Chana,Kala Chana,Kebab,Khichdi Mix,Kimchi,Macaroni,Masala Mix,Mix,Mixed Vegetables,Momos,Mushroom,Naan,Noodles,Nori Sheet,Nugget,Nuggets,Nutrition Bar,Olives,Pani Puri,Parantha,Paratha,Parota,Pasta,Pasta Kit,Patty,Peppercorns,Pineapple,Pizza Pocket,Popcorn,Pops,Prawns,Protein Bar,RTE Wrap,Ragi Flour,Rajma,Raw Chicken,Ready to Eat,Rice Flour,Rice Masala,Rice Paper,Salami,Samosa,Sauce,Sausage,Smiles,Soup,Soya Chaap,Soyabeans,Spaghetti,Spice Mix,Spring Roll,Sweet Corn,Taco Kit,Taco Shells,Thepla,Tomatoes,Tortilla,Upma,Vada,Wedges
3,2,0,0,4,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,3,0,5,0,1,0,5,2,0,0,1,3,13,0,0,0,0,0,0,4,1,33,1,0,0,0,71,0,1,7,2,1,0,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0
1,0,1,0,4,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0,0,0,3,13,0,16,10,2,0,0,0,0,0,2,0,0,0,25,0,0,1,4,0,1,2,2,0,1,0,2,0,0,4,0,0,0,2,0,0,13,0,20,0,1,0,0,0,0,0,1,2,1,0,0,0,0,5,0,0,0,0,0,2,0,0
19,2,0,0,150,0,1,3,165,0,0,4,0,2,0,0,0,0,11,2,0,38,0,5,2,0,77,2,8,1,11,1,0,64,0,52,1,2,0,131,16,0,0,1,130,96,0,0,0,10,0,0,61,2,46,8,24,0,2,570,0,0,49,6,2,5,7,0,2,23,0,20,0,0,19,6,0,2,6,1,0,0,1,41,0,14,0,5,2,0,14,25,36,8,0,0,1,2,29,0,0,0,0,0,8,2,1
326,24,12,0,882,4,1,41,996,0,4,22,8,13,8,10,44,0,24,9,0,351,0,14,1,77,0,3,6,13,154,6,0,823,1,630,21,14,0,1005,213,15,1,11,242,2085,0,0,0,112,0,0,3542,2,39,82,165,0,3,9983,0,17,660,126,187,11,38,12,6,1304,1,279,0,14,138,48,1,43,107,37,2,1,9,123,0,60,0,113,3,0,196,215,380,157,0,0,1,3,915,0,0,0,0,1,41,10,7
2,0,0,0,50,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,3,0,0,0,1,0,0,3,0,1,1,0,0,8,0,0,0,1,15,2,0,0,0,1,0,0,1,0,1,0,2,0,0,23,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,2,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0
5,0,0,0,18,0,0,1,13,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,8,6,0,0,0,1,0,0,2,1,3,0,0,0,9,2,0,1,0,14,2,0,0,0,1,0,0,3,0,2,0,3,0,0,28,0,0,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,1,2,5,0,0,0,0,0,6,0,0,0,0,0,3,0,0
7,0,0,0,66,0,0,196,45,0,0,2,2,0,1,0,1,0,0,1,0,54,0,0,0,1,13,0,0,0,9,2,0,46,0,12,1,0,0,39,2,2,1,1,17,36,0,0,0,7,0,0,12,0,0,3,12,0,0,192,0,0,15,817,7,0,2,1,0,20,0,7,0,4,1,2,0,3,1570,4,0,1,1,21,0,1,0,12,0,0,8,4,12,4,0,0,0,0,24,0,0,0,0,0,4,1,1
872,72,5,0,140,0,5,5,191,0,0,191,37,54,3,4,36,3,20,0,1,101,0,0,0,11,154,1,1,9,0,6,0,124,0,1947,78,5,0,304,10,5,0,11,60,228,0,0,0,286,0,0,121,0,8,38,268,0,1,1006,0,108,3834,23,13,4,46,2,1,50,0,550,0,6,799,193,0,7,27,9,0,0,4,45,0,10,0,87,11,0,129,945,60,59,0,0,1,12,161,0,0,0,0,1,12,46,54
4,0,10,0,5,0,1,1,4,0,0,2,7,3,5,2,3,1,1,0,0,4,0,0,0,1,6,0,0,2,6,0,0,6,0,9,5,0,0,7,1,6,0,1,0,1,0,0,0,25,0,0,4,0,0,1,27,0,0,22,0,4,15,2,1,0,2,1,0,3,0,25,0,0,1,7,0,36,4,2,0,0,3,3,0,0,0,22,0,0,24,3,5,3,0,0,1,0,5,0,0,0,0,0,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
