3 Ply Mask,Adhesive Bandage,Adult Diaper,Almond Oil,Antacid,Antifungal Cream,Antiseptic Cream,Antiseptic Liquid,Ayurvedic Cream,Balm & Ointment,COVID self test kit,Capsules,Chest rubs & balms,Cleaning Kit,Condom,Corn Cap,Coronil Kit,Cotton Balls,Cough Syrup,Cramp Relief Tablet,Crepe Bandage,Digestive Syrup,Digestive Tablets,Digital Thermometer,Drops,Ear Buds,Energy Drink Mix,Eye Drops,Face Mask,Gel,Glucometer Kit,Glucometer Test Strips,Hand Gloves,Hand Sanitizer,Health Syrup,Heat Patch,Inhaler,Interdental Brushes,Lens Solution,Lozenges,Lubricant,Mask,Mix,Mouth Gel,Multipurpose Oil,Nasal Spray,Nicotine Gum,ORS,Ointment,Oximeter,PPE Kit,Pain Relief Patch,Pain Relief Spray,Pain Relieving Cream,Pain Relieving Oil,Pain Relieving Roll On,Pregnancy Test Kit,Psyllium Husk,Shilajit Capsules,Skin Cream,Supplement,Tablets,Thermometer,Tulsi Drops,Vaporizer,Weight Machine
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,36,7,2,7,3,1,44,9,11,10,1,9,0,33,2,1,2,2,1,2,0,4,5,6,8,0,0,19,0,0,0,0,99,3,0,4,0,0,35,7,19,0,1,1,2,0,13,1,5,1,3,17,0,2,2,0,3,1,2,0,5,2,0,6,0
469,305,4,5,64,6,37,378,15,58,65,5,70,0,155,7,0,26,4,0,0,0,27,5,47,53,0,1,238,2,1,0,99,0,16,0,48,0,2,139,18,353,0,1,0,5,0,70,7,16,4,19,92,2,6,9,3,13,1,14,0,29,4,0,26,0
5,29,0,2,32,4,11,21,5,30,2,1,15,0,50,2,0,1,1,0,0,0,23,1,47,6,0,1,4,4,0,0,3,16,0,1,6,0,1,22,3,2,0,1,0,1,0,28,0,0,0,3,16,0,11,3,1,20,3,1,0,27,0,0,0,0
2,7,2,0,1,1,0,4,0,4,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,6,7,1,2,5,0,2,0,0,0,1,0,0,0,0
40,144,1,4,45,7,10,48,9,104,37,4,635,0,78,1,1,4,17,0,1,2,13,10,45,20,0,5,23,1,1,0,4,48,6,1,0,0,1,1067,14,21,0,1,0,24,1,52,7,10,1,12,80,7,2,20,3,10,1,5,0,26,6,0,49,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,318,3,3,112,20,30,165,35,186,227,13,938,0,207,8,3,7,87,1,1,1,63,21,125,58,0,9,59,12,1,0,35,139,22,2,1067,0,3,0,22,63,5,6,0,28,1,181,11,15,0,36,99,7,15,41,5,33,2,8,0,67,13,0,68,0
